ColorGroup,HTMLName,Hex,RGB,
Blue,AQUA,#00FFFF,"RGB(0, 255, 255)",
Blue,CYAN,#00FFFF,"RGB(0, 255, 255)","RGB(0, 255, 255)"
Blue,LIGHTCYAN,#E0FFFF,"RGB(224, 255, 255)","RGB(224, 255, 255)"
Blue,PALETURQUOISE,#AFEEEE,"RGB(175, 238, 238)","RGB(175, 238, 238)"
Blue,AQUAMARINE,#7FFFD4,"RGB(127, 255, 212)","RGB(127, 255, 212)"
Blue,TURQUOISE,#40E0D0,"RGB(64, 224, 208)","RGB(64, 224, 208)"
Blue,MEDIUMTURQUOISE,#48D1CC,"RGB(72, 209, 204)","RGB(72, 209, 204)"
Blue,DARKTURQUOISE,#00CED1,"RGB(0, 206, 209)","RGB(0, 206, 209)"
Blue,CADETBLUE,#5F9EA0,"RGB(95, 158, 160)","RGB(95, 158, 160)"
Blue,STEELBLUE,#4682B4,"RGB(70, 130, 180)","RGB(70, 130, 180)"
Blue,LIGHTSTEELBLUE,#B0C4DE,"RGB(176, 196, 222)","RGB(176, 196, 222)"
Blue,POWDERBLUE,#B0E0E6,"RGB(176, 224, 230)","RGB(176, 224, 230)"
Blue,LIGHTBLUE,#ADD8E6,"RGB(173, 216, 230)","RGB(173, 216, 230)"
Blue,SKYBLUE,#87CEEB,"RGB(135, 206, 235)","RGB(135, 206, 235)"
Blue,LIGHTSKYBLUE,#87CEFA,"RGB(135, 206, 250)","RGB(135, 206, 250)"
Blue,DEEPSKYBLUE,#00BFFF,"RGB(0, 191, 255)","RGB(0, 191, 255)"
Blue,DODGERBLUE,#1E90FF,"RGB(30, 144, 255)","RGB(30, 144, 255)"
Blue,CORNFLOWERBLUE,#6495ED,"RGB(100, 149, 237)","RGB(100, 149, 237)"
Blue,MEDIUMSLATEBLUE,#7B68EE,"RGB(123, 104, 238)","RGB(123, 104, 238)"
Blue,ROYALBLUE,#4169E1,"RGB(65, 105, 225)","RGB(65, 105, 225)"
Blue,BLUE,#0000FF,"RGB(0, 0, 255)","RGB(0, 0, 255)"
Blue,MEDIUMBLUE,#0000CD,"RGB(0, 0, 205)","RGB(0, 0, 205)"
Blue,DARKBLUE,#00008B,"RGB(0, 0, 139)","RGB(0, 0, 139)"
Blue,NAVY,#000080,"RGB(0, 0, 128)","RGB(0, 0, 128)"
Blue,MIDNIGHTBLUE,#191970,"RGB(25, 25, 112)","RGB(25, 25, 112)"